variable_name,dataset,code_list,definition
bmu,Community engagement,,Number of TB Basic Management Units in the country
bmu_community_impl,Community engagement,,Number of TB Basic Management Units which implemented community-based referrals or any form of community treatment adherence support
bmu_ref_data,Community engagement,,Number of Basic Management Units with data on referrals by community health workers / community volunteers
bmu_rxsupport_data,Community engagement,,Number of Basic Management Units with data on community treatment adherence support
bmu_rxsupport_data_coh,Community engagement,,Total number of patients who started TB treatment in the Basic Management Units with data on community treatment adherence support
community_data_available,Community engagement,0=No; 1=Yes,Are data available on community-based referrals or any form of community treatment adherence support?
notified_ref,Community engagement,,Total number of new and relapse TB cases notified in the Basic Management Units with data on referrals by community health workers
notified_ref_community,Community engagement,,Total number of new and relapse TB cases referred by community health workers / community volunteers in the Basic Management Units with data on referrals by community health workers
rxsupport_community_coh,Community engagement,,Total number of patients who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
rxsupport_community_succ,Community engagement,,Total number of patients who were cured or who completed treatment among the cases who started TB treatment and who received any form of treatment adherence support from community health workers / community volunteers in the Basic Management Units with data on community treatment adherence support
country,Country identification,,Country or territory name
iso_numeric,Country identification,,ISO numeric country/territory code
iso2,Country identification,,ISO 2-character country/territory code
iso3,Country identification,,ISO 3-character country/territory code
c_cdr,Estimates,,"Case detection rate (all forms), percent"
c_cdr_hi,Estimates,,"Case detection rate (all forms), percent, high bound"
c_cdr_lo,Estimates,,"Case detection rate (all forms), percent, low bound"
c_newinc_100k,Estimates,,"Case notification rate, which is the total of new and relapse cases and cases with unknown previous TB treatment history per 100 000 population (calculated)"
cfr,Estimates,,Estimated TB case fatality ratio
cfr_hi,Estimates,,Estimated TB case fatality ratio: high bound
cfr_lo,Estimates,,Estimated TB case fatality ratio: low bound
e_inc_100k,Estimates,,Estimated incidence (all forms) per 100 000 population
e_inc_100k_hi,Estimates,,"Estimated incidence (all forms) per 100 000 population, high bound"
e_inc_100k_lo,Estimates,,"Estimated incidence (all forms) per 100 000 population, low bound"
e_inc_num,Estimates,,Estimated number of incident cases (all forms)
e_inc_num_014,Estimates,,Estimated number of incident cases that are aged 0 - 14
e_inc_num_014_hi,Estimates,,Estimated number of incident cases that are male 0 - 14 (upper bound)
e_inc_num_014_lo,Estimates,,Estimated number of incident cases that are aged 0 - 14 (lower bound)
e_inc_num_15plus,Estimates,,Estimated number of incident cases that are aged 15 and over
e_inc_num_15plus_hi,Estimates,,Estimated number of incident cases that are aged 15 and over (upper bound)
e_inc_num_15plus_lo,Estimates,,Estimated number of incident cases that are aged 15 and over (lower bound)
e_inc_num_f,Estimates,,Estimated number of incident cases that are female
e_inc_num_f_hi,Estimates,,Estimated number of incident cases that are female (upper bound)
e_inc_num_f_lo,Estimates,,Estimated number of incident cases that are female (lower bound)
e_inc_num_f014,Estimates,,Estimated number of incident cases that are female aged 0 - 14
e_inc_num_f014_hi,Estimates,,Estimated number of incident cases that are female aged 0 - 14 (upper bound)
e_inc_num_f014_lo,Estimates,,Estimated number of incident cases that are female aged 0 - 14 (lower bound)
e_inc_num_f15plus,Estimates,,Estimated number of incident cases that are female aged 15 and over
e_inc_num_f15plus_hi,Estimates,,Estimated number of incident cases that are female aged 15 and over (upper bound)
e_inc_num_f15plus_lo,Estimates,,Estimated number of incident cases that are female aged 15 and over (lower bound)
e_inc_num_hi,Estimates,,"Estimated number of incident cases (all forms), high bound"
e_inc_num_lo,Estimates,,"Estimated number of incident cases (all forms), low bound"
e_inc_num_m,Estimates,,Estimated number of incident cases that are male
e_inc_num_m_hi,Estimates,,Estimated number of incident cases that are male (upper bound)
e_inc_num_m_lo,Estimates,,Estimated number of incident cases that are male (lower bound)
e_inc_num_m014,Estimates,,Estimated number of incident cases that are male aged 0 - 14
e_inc_num_m014_hi,Estimates,,Estimated number of incident cases that are male aged 0 - 14 (upper bound)
e_inc_num_m014_lo,Estimates,,Estimated number of incident cases that are male aged 0 - 14 (lower bound)
e_inc_num_m15plus,Estimates,,Estimated number of incident cases that are male aged 15 and over
e_inc_num_m15plus_hi,Estimates,,Estimated number of incident cases that are male aged 15 and over (upper bound)
e_inc_num_m15plus_lo,Estimates,,Estimated number of incident cases that are male aged 15 and over (lower bound)
e_inc_rr_num,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number)
e_inc_rr_num_hi,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): high bound
e_inc_rr_num_lo,Estimates,,Estimated incidence of rifampicin resistant TB (absolute number): low bound
e_inc_tbhiv_100k,Estimates,,Estimated incidence of TB cases who are HIV-positive per 100 000 population
e_inc_tbhiv_100k_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, high bound"
e_inc_tbhiv_100k_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive per 100 000 population, low bound"
e_inc_tbhiv_num,Estimates,,Estimated incidence of TB cases who are HIV-positive
e_inc_tbhiv_num_hi,Estimates,,"Estimated incidence of TB cases who are HIV-positive, high bound"
e_inc_tbhiv_num_lo,Estimates,,"Estimated incidence of TB cases who are HIV-positive, low bound"
e_mdr_pct_rr_new,Estimates,,Estimated percentage of new rifampicin resistant TB cases that have MDR-TB
e_mdr_pct_rr_ret,Estimates,,Estimated percentage of previously treated rifampicin resistant TB cases that have MDR-TB
e_mort_exc_tbhiv_100k,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV) per 100 000 population"
e_mort_exc_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, high bound"
e_mort_exc_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases (all forms, excluding HIV), per 100 000 population, low bound"
e_mort_exc_tbhiv_num,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV)"
e_mort_exc_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), high bound"
e_mort_exc_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB (all forms, excluding HIV), low bound"
e_mort_tbhiv_100k,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population"
e_mort_tbhiv_100k_hi,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, high bound"
e_mort_tbhiv_100k_lo,Estimates,,"Estimated mortality of TB cases who are HIV-positive, per 100 000 population, low bound"
e_mort_tbhiv_num,Estimates,,Estimated number of deaths from TB in people who are HIV-positive
e_mort_tbhiv_num_hi,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, high bound"
e_mort_tbhiv_num_lo,Estimates,,"Estimated number of deaths from TB in people who are HIV-positive, low bound"
e_pop_num,Estimates,,Estimated total population number
e_rr_in_notified_pulm,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases
e_rr_in_notified_pulm_hi,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases: high bound
e_rr_in_notified_pulm_lo,Estimates,,Estimated number of RR-TB cases among notified pulmonary TB cases: low bound
e_rr_pct_new,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB
e_rr_pct_new_hi,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: high bound
e_rr_pct_new_lo,Estimates,,Estimated percentage of new TB cases with rifampicin resistant TB: low bound
e_rr_pct_ret,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB
e_rr_pct_ret_hi,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: high bound
e_rr_pct_ret_lo,Estimates,,Estimated percentage of previously treated TB cases with rifampicin resistant TB: low bound
e_tbhiv_prct,Estimates,,Estimated HIV in incident TB (percent)
e_tbhiv_prct_hi,Estimates,,"Estimated HIV in incident TB (percent), high bound"
e_tbhiv_prct_lo,Estimates,,"Estimated HIV in incident TB (percent), low bound"
source_drs_coverage_new,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of new TB cases with MDR-TB
source_drs_coverage_ret,Estimates,,Indicates whether national or subnational data from drug resistance surveys or surveillance was used to estimate the proportion of previously treated TB cases with MDR-TB
source_drs_year_new,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of new TB cases with MDR-TB"
source_drs_year_ret,Estimates,,"Year of drug resistance surveillance, survey or model used to estimate proportion of previously treated TB cases with MDR-TB"
source_inc,Estimates,,Method to derive incidence estimates
source_mort,Estimates,,Method to derive mortality estimates
source_rr_new,Estimates,,Method used to estimate proportion of new TB patients with rifampicin-resistant TB
source_rr_ret,Estimates,,Method used to estimate proportion of previously treated TB patients with rifampicin-resistant TB
source_tbhiv,Estimates,,Method to derive TBHIV estimates
collab_private_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the private sector (including NGOs) collaborating with the NTP?
collab_public_lab,Laboratories,0=No; 1=yes,Were any non-NTP laboratories in the public sector collaborating with the NTP?
culture,Laboratories,,Number of sites providing TB diagnostic services using culture at the end of the reporting year
dst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only at the end of the reporting year
dst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs only that demonstrated proficiency by panel testing
lab_cul,Laboratories,,Number of laboratories providing TB diagnostic services using culture
lab_dst,Laboratories,,Number of laboratories providing TB diagnostic services using drug susceptibility testing
lab_dst_eqa,Laboratories,,Number of drug susceptibility testing laboratories for which External Quality Assessment (EQA) was carried out
lab_dst_eqa_pass,Laboratories,,Number of drug susceptibility testing laboratories which demonstrated acceptable performance
lab_lpa,Laboratories,,Number of laboratories providing TB diagnostic services using Line Probe Assay (LPA) rifampicin
lab_lpa_eqa,Laboratories,,Number of Line Probe Assay (LPA) rifampicin  laboratories for which External Quality Assessment (EQA) was carried out
lab_lpa_eqa_pass,Laboratories,,Number of Line Probe Assay (LPA) rifampicin laboratories which demonstrated acceptable performance
lab_sm,Laboratories,,Number of laboratories providing TB diagnostic services using smear microscopy
lab_sm_eqa,Laboratories,,Number of smear microscopy laboratories for which External Quality Assessment (EQA) was carried out
lab_sm_eqa_pass,Laboratories,,Number of smear microscopy laboratories which demonstrated acceptable performance
lab_sm_led,Laboratories,,Number of laboratories providing TB diagnostic services using LED microscopes for smear microscopy
lab_xpert,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF
lab_xpert_eqa,Laboratories,,Number of laboratories providing TB diagnostic services using xpert MTB/RIF for which External Quality Assessment (EQA) was carried out
lpa,Laboratories,,Number of sites providing Line Probe Assay services at the end of the reporting year
lpa_eqa_pass,Laboratories,,Number of sites providing Line Probe Assay services that demonstrated proficiency by panel testing
nrl,Laboratories,0=No; 1=yes,Was there a national reference laboratory or laboratories (NRL)?
nrl_iso15189,Laboratories,0=No; 1=yes,Has the national reference laboratory (or national reference laboratories) achieved national or international accreditation according to the ISO 15189 standard?
nrl_qms,Laboratories,0=No; 1=yes,Has a formal quality management system towards achieving laboratory accreditation been implemented at the National Reference Laboratory?
nrl_srl_link,Laboratories,0=No; 1=yes,Has a formal link been established between the National Reference Laboratory and a partner Supranational Reference Laboratory?
qms,Laboratories,0=No; 1=yes,"Is a formal quality management system towards achieving accreditation being implemented in all laboratories conducting culture, LPA and/or DST?"
sldst,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs at the end of the reporting year
sldst_avail_incntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available within the country for TB National Treatment Programme patients?
sldst_avail_outcntry,Laboratories,0=No; 1=yes,Was second-line drug susceptibility testing available outside the country for TB National Treatment Programme patients?
sldst_eqa_pass,Laboratories,,Number of sites providing phenotypic drug susceptibility testing for first-line drugs and second-line drugs that demonstrated proficiency by panel testing
smear,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy at the end of the reporting year
smear_eqa,Laboratories,,Number of sites providing TB diagnostic services using smear microscopy covered by a comprehensive EQA system
xpert,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF at the end of the reporting year
xpert_eqa,Laboratories,,Number of sites providing TB diagnostic services using Xpert MTB/RIF covered by a comprehensive EQA system
xpert_etrans,Laboratories,,Number of sites using Xpert MTB/RIF which transmit results automatically to clinicians and to an information management system
 e_prevtx_kids_pct,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy
 e_prevtx_kids_pct_hi,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: High bound
 e_prevtx_kids_pct_lo,Latent TB infection,,Estimated % of children received TB preventive therapy aged under 5 who are household contacts of TB cases and who are eligible for TB preventive therapy: Low bound
e_hh_size,Latent TB infection,,Estimated average household size
e_prevtx_eligible,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy
e_prevtx_eligible_hi,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: high bound
e_prevtx_eligible_lo,Latent TB infection,,Estimated number of children aged under 5 who are household contacts of TB cases who are eligible for TB preventive therapy: low bound
newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=60) Number of children aged under 5 started on TB preventive therapy who are household contacts of bacteriologically-confirmed new and relapse TB cases notified
prevtx_data_available,Latent TB infection,0=No; 60= Yes available from the routine surveillance system; 61=Yes  estimated from a survey of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population,Are data available on the number of children aged under 5 who are household contacts of TB cases and started on TB preventive therapy?
ptsurvey_newinc,Latent TB infection,,(If prevtx_data_available=61) Number of bacteriologically-confirmed TB new and relapse cases notified in the reporting year whose medical records or treatment cards were included in a survey
ptsurvey_newinc_con04_prevtx,Latent TB infection,,(If prevtx_data_available=61) Number of children aged under 5 started on TB preventive therapy who are household contacts of the TB cases in ptsurvey_newinc
source_hh,Latent TB infection,,Source of estimate of average household size
tbhiv_sentin_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_prev,Non-routine HIV surveillance,,Prevalence (%) of HIV in TB patients estimated using sentinel sites
tbhiv_sentin_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using sentinel sites
tbhiv_surv_cil,Non-routine HIV surveillance,,Lower limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_ciu,Non-routine HIV surveillance,,Upper limit (95% confidence interval) of prevalence (%) of HIV in TB patients estimated using nationwide representative surveys
tbhiv_surv_prev,Non-routine HIV surveillance,,"Prevalence (%) of HIV in TB patients estimated using nationwide representative
surveys"
tbhiv_surv_yr,Non-routine HIV surveillance,,Year in which prevalence of HIV in TB patients was estimated using nationwide representative surveys
all_conf_xdr,Notification,,Number of laboratory-confirmed XDR-TB cases identified in the current year (including in MDR cases diagnosed in previous years).
c_newinc,Notification,,Total of new and relapse cases and cases with unknown previous TB treatment history
conf_mdr,Notification,,Number of laboratory-confirmed MDR-TB cases identified
conf_mdr_tx,Notification,,Number of laboratory-confirmed MDR-TB patients who started treatment for MDR-TB
conf_rrmdr,Notification,,Number of laboratory-confirmed RR-TB or MDR-TB cases identified
conf_rrmdr_tx,Notification,,Number of laboratory-confirmed rifampicin-resistant (RR-TB) or multidrug-resistant TB (MDR-TB) patients who started treatment for MDR-TB
conf_xdr_tx,Notification,,Number of laboratory-confirmed XDR-TB patients who started treatment for XDR-TB
dst_rlt_new,Notification,,Drug resistance surveillance: Among new TB patients with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
dst_rlt_ret,Notification,,Drug resistance surveillance: Among patients previously treated for TB with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
dst_rlt_unk,Notification,,Drug resistance surveillance: Among patients with unknown TB treatment history with positive identification for M. Tuberculosis complex (confirmed by culture and/or line-probe assay): number of patients with available drug susceptibility testing results for isoniazid and rifampicin
hiv_art,Notification,,HIV-positive TB patients started or continued on antiretroviral therapy (ART)
hiv_cpt,Notification,,HIV-positive TB patients started or continued on co-trimoxazole preventive therapy (CPT)
hiv_ipt,Notification,,People registered as HIV-positive given isoniazid prophylaxis (treatment of latent TB infection)
hiv_reg,Notification,,Total number of people registered as HIV-positive regardless of year of diagnosis. (Total number of adults and children enrolled in HIV care; includes everyone in the HIV care and/or ART register)
hiv_reg_new,Notification,,Number of adults and children newly enrolled in HIV care during the year.
hiv_reg_new2,Notification,,Total number of adults and children newly enrolled in pre-ART care or on ART during the reporting period
hiv_tbdetect,Notification,,Total number of adults and children newly enrolled in HIV care who are diagnosed as having active TB disease during the reporting period
hiv_tbscr,Notification,,Number of adults and children enrolled in HIV care who had their TB status assessed and recorded during their last visit
hivtest,Notification,,TB patients (new and re-treatment) with an HIV test result recorded in the TB register
hivtest_pos,Notification,,TB patients (new and re-treatment) recorded as HIV-positive
mdr_dst_rlt,Notification,,Drug resistance surveillance: Total number of MDR-TB patients with drug susceptibility test results for any fluoroquinolone and any second-line injectable agent
mdr_new,Notification,,Drug resistance surveillance: Among new TB patients with available drug susceptibility testing results (variable dst_rlt_new):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
mdr_ret,Notification,,Drug resistance surveillance: Among patients previously treated for TB with available drug susceptibility testing results (variable dst_rlt_ret):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
mdr_shortreg_tx,Notification,,Number of patients started on shorter MDR-TB treatment regiments during the reporting year
mdr_shortreg_used,Notification,0=No; 1=Yes; 3=Don't know,Had any patients been started on shorter MDR-TB treatment regimens by the end of the reporting year?
mdr_tx_adverse_events,Notification,,Number of patients on MDR-TB treatment who had adverse events registered in the reporting year
mdr_unk,Notification,,Drug resistance surveillance: Among patients with unknown TB treatment history with available drug susceptibility testing results (variable dst_rlt_unk):  number of patients with resistance to isoniazid and rifampicin  (MDR-TB)
mdrxdr_bdq_tx,Notification,,Number of patients started on Bedaquiline during the reporting year
mdrxdr_bdq_used,Notification,0=No; 1=Yes; 3=Don't know,"Had any TB patients been started on Bedaquiline for the treatment of MDR-/XDR-TB by the end of reporting year as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?"
mdrxdr_dlm_used,Notification,0=No; 1=Yes; 3=Don't know,"Had any TB patients been started on Delamanid for the treatment of MDR-/XDR-TB by the end of reporting as part of expanded access, compassionate use or under normal programmatic use, whether in the public or private sector?"
new_clindx,Notification,,"New pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment).  It also includes pulmonary clinically diagnosed cases with unknown previous TB treatment history."
new_ep,Notification,,New extrapulmonary cases (bacteriologically confirmed or clinically diagnosed). As of 2013 this also includes extrapulmonary cases with unknown previous TB treatment history.
new_ep_f014,Notification,,New extrapulmonary cases: females aged 0-14 years (not used after 2012)
new_ep_f04,Notification,,New extrapulmonary cases: females aged 0-4 years (not used after 2012)
new_ep_f1524,Notification,,New extrapulmonary cases: females aged 15-24 years (not used after 2012)
new_ep_f15plus,Notification,,New extrapulmonary cases: females aged 15 years and over (not used after 2012)
new_ep_f2534,Notification,,New extrapulmonary cases: females aged 25-34 years (not used after 2012)
new_ep_f3544,Notification,,New extrapulmonary cases: females aged 35-44 years (not used after 2012)
new_ep_f4554,Notification,,New extrapulmonary cases: females aged 45-54 years (not used after 2012)
new_ep_f514,Notification,,New extrapulmonary cases: females aged 5-14 years (not used after 2012)
new_ep_f5564,Notification,,New extrapulmonary cases: females aged 55-64 years (not used after 2012)
new_ep_f65,Notification,,New extrapulmonary cases: females aged 65 years and over (not used after 2012)
new_ep_fu,Notification,,New extrapulmonary cases: females age unknown (not used after 2012)
new_ep_m014,Notification,,New extrapulmonary cases: males aged 0-14 years (not used after 2012)
new_ep_m04,Notification,,New extrapulmonary cases: males aged 0-4 years (not used after 2012)
new_ep_m1524,Notification,,New extrapulmonary cases: males aged 15-24 years (not used after 2012)
new_ep_m15plus,Notification,,New extrapulmonary cases: males aged 15 years and over (not used after 2012)
new_ep_m2534,Notification,,New extrapulmonary cases: males aged 25-34 years (not used after 2012)
new_ep_m3544,Notification,,New extrapulmonary cases: males aged 35-44 years (not used after 2012)
new_ep_m4554,Notification,,New extrapulmonary cases: males aged 45-54 years (not used after 2012)
new_ep_m514,Notification,,New extrapulmonary cases: males aged 5-14 years (not used after 2012)
