variable_name,dataset,code_list,definition
new_ep_m5564,Notification,,New extrapulmonary cases: males aged 55-64 years (not used after 2012)
new_ep_m65,Notification,,New extrapulmonary cases: males aged 65 years and over (not used after 2012)
new_ep_mu,Notification,,New extrapulmonary cases: males age unknown (not used after 2012)
new_ep_sexunk014,Notification,,"New extrapulmonary cases: sex unknown, aged 0-14 years (not used after 2012)"
new_ep_sexunk04,Notification,,"New extrapulmonary cases: sex unknown, aged 0-4 years (not used after 2012)"
new_ep_sexunk15plus,Notification,,"New extrapulmonary cases: sex unknown, aged 15 years and over (not used after 2012)"
new_ep_sexunk514,Notification,,"New extrapulmonary cases: sex unknown, aged 5-14 years (not used after 2012)"
new_ep_sexunkageunk,Notification,,"New extrapulmonary cases: sex unknown, age unknown (not used after 2012)"
new_labconf,Notification,,New pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF). As of 2013 this also includes pulmonary bacteriologically confirmed cases with unknown previous TB treatment history.
new_oth,Notification,,Other new cases (not used after 2012)
new_sn,Notification,,New pulmonary smear-negative cases (not used after 2012)
new_sn_f014,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-14 years (not used after 2012)
new_sn_f04,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 0-4 years (not used after 2012)
new_sn_f1524,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 15-24 years (not used after 2012)
new_sn_f15plus,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 15 years and over (not used after 2012)
new_sn_f2534,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 25-34 years (not used after 2012)
new_sn_f3544,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 35-44 years (not used after 2012)
new_sn_f4554,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 45-54 years (not used after 2012)
new_sn_f514,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 5-14 years (not used after 2012)
new_sn_f5564,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 55-64 years (not used after 2012)
new_sn_f65,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females aged 65 years and over (not used after 2012)
new_sn_fu,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: females age unknown (not used after 2012)
new_sn_m014,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-14 years (not used after 2012)
new_sn_m04,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 0-4 years (not used after 2012)
new_sn_m1524,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 15-24 years (not used after 2012)
new_sn_m15plus,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 15 years and above (not used after 2012)
new_sn_m2534,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 25-34 years (not used after 2012)
new_sn_m3544,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 35-44 years (not used after 2012)
new_sn_m4554,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 45-54 years (not used after 2012)
new_sn_m514,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 5-14 years (not used after 2012)
new_sn_m5564,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 55-64 years (not used after 2012)
new_sn_m65,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males aged 65 years and over (not used after 2012)
new_sn_mu,Notification,,New pulmonary smear negative/smear unknown/smear not done cases: males age unknown (not used after 2012)
new_sn_sexunk014,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-14 years (not used after 2012)"
new_sn_sexunk04,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 0-4 years (not used after 2012)"
new_sn_sexunk15plus,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 15 years and over (not used after 2012)"
new_sn_sexunk514,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, aged 5-14 years (not used after 2012)"
new_sn_sexunkageunk,Notification,,"New pulmonary smear negative/smear unknown/smear not done cases: sex unknown, age unknown (not used after 2012)"
new_sp,Notification,,New pulmonary smear-positive cases (not used after 2012)
new_sp_f014,Notification,,New pulmonary smear positive cases: females aged 0-14 years (not used after 2012)
new_sp_f04,Notification,,New pulmonary smear positive cases: females aged 0-4 years (not used after 2012)
new_sp_f1524,Notification,,New pulmonary smear positive cases: females aged 15-24 years (not used after 2012)
new_sp_f2534,Notification,,New pulmonary smear positive cases: females aged 25-34 years (not used after 2012)
new_sp_f3544,Notification,,New pulmonary smear positive cases: females aged 35-44 years (not used after 2012)
new_sp_f4554,Notification,,New pulmonary smear positive cases: females aged 45-54 years (not used after 2012)
new_sp_f514,Notification,,New pulmonary smear positive cases: females aged 5-14 years (not used after 2012)
new_sp_f5564,Notification,,New pulmonary smear positive cases: females aged 55-64 years (not used after 2012)
new_sp_f65,Notification,,New pulmonary smear positive cases: females aged 65 and over (not used after 2012)
new_sp_fu,Notification,,New pulmonary smear positive cases: females age unknown (not used after 2012)
new_sp_m014,Notification,,New pulmonary smear positive cases: males aged 0-14 years (not used after 2012)
new_sp_m04,Notification,,New pulmonary smear positive cases: males aged 0-4 years (not used after 2012)
new_sp_m1524,Notification,,New pulmonary smear positive cases: males aged 15-24 years (not used after 2012)
new_sp_m2534,Notification,,New pulmonary smear positive cases: males aged 25-34 years (not used after 2012)
new_sp_m3544,Notification,,New pulmonary smear positive cases: males aged 35-44 years (not used after 2012)
new_sp_m4554,Notification,,New pulmonary smear positive cases: males aged 45-54 years (not used after 2012)
new_sp_m514,Notification,,New pulmonary smear positive cases: males aged 5-14 years (not used after 2012)
new_sp_m5564,Notification,,New pulmonary smear positive cases: males aged 55-64 years (not used after 2012)
new_sp_m65,Notification,,New pulmonary smear positive cases: males aged 65 years and over (not used after 2012)
new_sp_mu,Notification,,New pulmonary smear positive cases: males age unknown (not used after 2012)
new_su,Notification,,New pulmonary smear unknown/not done cases
newinc_rdx,Notification,,(if rdx_data_available=60) Number of new and relapse cases notified and tested using a WHO-recommended rapid diagnostic (for example Xpert MTB/RIF) at the time of TB diagnosis (regardless of test result)
newrel_art,Notification,,HIV-positive new and relapse TB patients started or continued on antiretroviral therapy
newrel_f014,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-14 years
newrel_f04,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 0-4 years
newrel_f1524,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15-24 years
newrel_f15plus,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 15 years and over
newrel_f2534,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 25-34 years
newrel_f3544,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 35-44 years
newrel_f4554,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 45-54 years
newrel_f514,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 5-14 years
newrel_f5564,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 55-64 years
newrel_f65,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females aged 65 years and over
newrel_fu,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): females age unknown
newrel_hivpos,Notification,,Number of new and relapse TB patients recorded as HIV-positive
newrel_hivtest,Notification,,Number of new and relapse TB patients tested for HIV at the time of TB diagnosis or with known HIV status at the time of TB diagnosis
newrel_m014,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-14 years
newrel_m04,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 0-4 years
newrel_m1524,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15-24 years
newrel_m15plus,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 15 years and over
newrel_m2534,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 25-34 years
newrel_m3544,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 35-44 years
newrel_m4554,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 45-54 years
newrel_m514,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 5-14 years
newrel_m5564,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 55-64 years
newrel_m65,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males aged 65 years and over
newrel_mu,Notification,,New and relapse cases (but only new cases if rel_in_agesex_flg = 0): males age unknown
newrel_sexunk014,Notification,,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 0-14 years"
newrel_sexunk04,Notification,,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 0-4 years"
newrel_sexunk15plus,Notification,,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 15 years and over"
newrel_sexunk514,Notification,,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, aged 5-14 years"
newrel_sexunkageunk,Notification,,"New and relapse cases (but only new cases if rel_in_agesex_flg = 0): sex unknown, age unknown"
newret_oth,Notification,,Other cases not included in new and re-treatment case numbers
notif_foreign,Notification,,New and re-treatment TB cases among foreign-born individuals
rdst_new,Notification,,"Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: new cases"
rdst_ret,Notification,,"Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: previously treated cases"
rdst_unk,Notification,,"Number of TB cases (pulmonary or extrapulmonary) tested for susceptibility to rifampicin using phenotypic DST or WHO-recommended rapid molecular diagnostics (e.g. Xpert MTB/RIF), before or after starting treatment: cases with unknown previous TB treatment history"
rdx_data_available,Notification,0=No; 60= Yes available from the routine surveillance system; 61=Yes  estimated from a survey of a random sample of medical records or treatment cards of TB patients representative of the national TB patient population,Are data available on the number of new and relapse cases tested using a WHO-recommended rapid diagnostic during the reporting year?
rdxsurvey_newinc,Notification,,(if rdx_data_available=61) Number of new and relapse cases whose medical records or treatment cards were included in the survey
rdxsurvey_newinc_rdx,Notification,,(if rdx_data_available=61) Among the cases reported in rdxsurvey_newinc the number tested using a WHO-recommended rapid diagnostic (such as Xpert MTB/RIF) at the time of TB diagnosis (regardless of test result)
rel_in_agesex_flg,Notification,0=No; 1=Yes.,Are all relapse cases included with new cases in the disaggregations by age and sex?
ret_nrel,Notification,,"Previously treated patients, excluding relapse cases (pulmonary or extrapulmonary, bacteriologically confirmed or clinically diagnosed)"
ret_oth,Notification,,Other re-treatment cases
ret_rel,Notification,,Relapse cases
ret_rel_clindx,Notification,,"Relapse pulmonary clinically diagnosed TB cases (not bacteriologically confirmed as positive for TB, but diagnosed with active TB by a clinician or another medical practitioner who has decided to give the patient a full course of TB treatment)."
ret_rel_ep,Notification,,Relapse extrapulmonary cases (bacteriologically confirmed or clinically diagnosed)
ret_rel_labconf,Notification,,Relapse  pulmonary bacteriologically confirmed TB cases (smear positive or culture positive or positive by WHO-recommended rapid diagnostics such as Xpert MTB/RIF).
ret_tad,Notification,,Treatment after default cases
ret_taf,Notification,,Treatment after failure cases
rr_sldst,Notification,,Number of laboratory-confirmed RR-TB or MDR-TB cases tested for susceptibility to second-line drugs (fluoroquinolones and second-line injectable agents)
unconf_mdr_tx,Notification,,Number of MDR-TB (not laboratory-confirmed) patients who started treatment for MDR-TB
unconf_rrmdr_tx,Notification,,Number of patients (not laboratory-confirmed as having rifampicin-resistant (RR-TB) or multidrg-resistant TB (MDR-TB)) who started treatment for MDR-TB
xdr,Notification,,Drug resistance surveillance: Among MDR-TB patients with drug susceptibility test results for any fluoroquinolone (FQ) and any second-line injectable agent (2LI) (variable mdr_dst_rlt): number with any resistance to both FQ and 2LI (i.e. XDR-TB)
xpert_dr_r_new,Notification,,Among new pulmonary TB patients with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay: number with resistance to rifampicin
xpert_dr_r_ret,Notification,,Among previously treated pulmonary TB patients with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay: number with resistance to rifampicin
xpert_dr_r_unk,Notification,,Among pulmonary TB patients with unknown previous TB treatment history with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay: number with resistance to rifampicin
xpert_new,Notification,,Number of new pulmonary TB patients with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay
xpert_ret,Notification,,Number of previously treated pulmonary TB patients with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay
xpert_unk,Notification,,Number of pulmonary TB patients with unknown previous TB treatment history with positive identification for M. Tuberculosis complex confirmed by Xpert MTB/RIF alone and who are not confirmed by culture and/or line-probe assay
c_new_snep_tsr,Outcomes,,"Treatment success rate for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases, percent  (not used after 2011)"
c_new_sp_tsr,Outcomes,,"Treatment success rate for new pulmonary smear-positive (and/or culture-positive) cases, percent  (not used after 2011)"
c_new_tsr,Outcomes,,"Treatment success rate for all new cases (including relapse cases if rel_with_new_flg = 1), percent"
c_ret_tsr,Outcomes,,"Treatment success rate for re-treatment cases (excluding relapse cases if rel_with_new_flg = 1), percent"
c_tbhiv_tsr,Outcomes,,"Treatment success rate for HIV-positive TB cases, percent"
hiv_new_snep_cmplt,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: completed  (not used after 2011)
hiv_new_snep_coh,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: cohort size  (not used after 2011)
hiv_new_snep_def,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: defaulted  (not used after 2011)
hiv_new_snep_died,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: died  (not used after 2011)
hiv_new_snep_fail,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done HIV-positive TB cases: failed (not used after 2011)
hiv_new_sp_cmplt,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: completed (not used after 2011)
hiv_new_sp_coh,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: cohort size (not used after 2011)
hiv_new_sp_cur,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: cured (not used after 2011)
hiv_new_sp_def,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: defaulted (not used after 2011)
hiv_new_sp_died,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: died (not used after 2011)
hiv_new_sp_fail,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) HIV-positive TB cases: failed (not used after 2011)
hiv_ret_cmplt,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: completed (not used after 2011)
hiv_ret_coh,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: cohort size (not used after 2011)
hiv_ret_cur,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: cured (not used after 2011)
hiv_ret_def,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: defaulted (not used after 2011)
hiv_ret_died,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: died (not used after 2011)
hiv_ret_fail,Outcomes,,Outcomes for re-treatment HIV-positive TB cases: failed (not used after 2011)
mdr_coh,Outcomes,,Outcomes for MDR-TB cases: cohort size
mdr_died,Outcomes,,Outcomes for MDR-TB cases: died
mdr_fail,Outcomes,,Outcomes for MDR-TB cases: treatment failed
mdr_lost,Outcomes,,Outcomes for MDR-TB cases: lost to follow-up
mdr_succ,Outcomes,,Outcomes for MDR-TB cases: treatment success (Cured or treatment completed)
new_snep_cmplt,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: completed (not used after 2011)
new_snep_coh,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: cohort size (not used after 2011)
new_snep_def,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: defauled (not used after 2011)
new_snep_died,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: died (not used after 2011)
new_snep_fail,Outcomes,,Outcomes for new pulmonary smear-negative/extrapulmonary/smear unknown/smear not done cases: failed (not used after 2011)
new_sp_cmplt,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: completed (not used after 2011)
new_sp_coh,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: cohort size (not used after 2011)
new_sp_cur,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: cured (not used after 2011)
new_sp_def,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: defaulted (not used after 2011)
new_sp_died,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: died (not used after 2011)
new_sp_fail,Outcomes,,Outcomes for new pulmonary smear-positive (and/or culture-positive) cases: failed (not used after 2011)
newrel_coh,Outcomes,,Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): cohort size
newrel_died,Outcomes,,Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): died
newrel_fail,Outcomes,,Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): treatment failed
newrel_lost,Outcomes,,Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): lost to follow-up
newrel_succ,Outcomes,,Outcomes for all new and relapse cases (but only new cases if rel_with_new_flg = 0): treatment success (cured or treatment completed)
rel_with_new_flg,Outcomes,0=No; 1=Yes;,Are outcomes of relapse cases included in the newrel outcome variables?
rep_meth,Outcomes,100=smear;101=culture;102=smear or culture;,Method of confirmation used to report treatment outcomes of pulmonary cases  (not used after 2011)
ret_cmplt,Outcomes,,Outcomes for re-treatment cases: completed  (not used after 2011)
ret_coh,Outcomes,,Outcomes for re-treatment cases: cohort size (not used after 2011)
ret_cur,Outcomes,,Outcomes for re-treatment cases: cured (not used after 2011)
ret_def,Outcomes,,Outcomes for re-treatment cases: defaulted (not used after 2011)
ret_died,Outcomes,,Outcomes for re-treatment cases: died (not used after 2011)
ret_fail,Outcomes,,Outcomes for re-treatment cases: failed (not used after 2011)
ret_nrel_coh,Outcomes,,Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): cohort size
ret_nrel_died,Outcomes,,Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): died
ret_nrel_fail,Outcomes,,Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): treatment failed
ret_nrel_lost,Outcomes,,Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): lost to follow-up
ret_nrel_succ,Outcomes,,Outcomes for previously treated patients (excluding relapse cases if rel_with_new_flg = 1): treatment success (cured or treatment completed)
tbhiv_coh,Outcomes,,"Outcomes for HIV-positive TB cases, all types: cohort size"
tbhiv_died,Outcomes,,"Outcomes for HIV-positive TB cases, all types: died"
tbhiv_fail,Outcomes,,"Outcomes for HIV-positive TB cases, all types: treatment failed"
tbhiv_lost,Outcomes,,"Outcomes for HIV-positive TB cases, all types: lost to follow-up"
tbhiv_succ,Outcomes,,"Outcomes for HIV-positive TB cases, all types: treatment success (cured or treatment completed)"
xdr_coh,Outcomes,,Outcomes for XDR-TB cases: cohort size
xdr_died,Outcomes,,Outcomes for XDR-TB cases: number died
xdr_fail,Outcomes,,Outcomes for XDR-TB cases: number whose treatment failed
xdr_lost,Outcomes,,Outcomes for XDR-TB cases: lost to follow-up
xdr_succ,Outcomes,,Outcomes for XDR-TB cases: treatment success (Cured or treatment completed)
caseb_err_nat,Strategy,0=No; 42=Yes (all TB patients in the country); 43=Yes (but only for MDR-TB patients countrywide),Did the National Treatment Programme keep (or have access to) an electronic case-based database for TB patients on treatment at national level
eol_care,Strategy,0=No; 1=yes,Is there a component in the TB programme that provides palliative and end-of-life care to patients who have failed MDR-TB treatment or who have life-threatening sequelae of disease?
hcw_tb_infected,Strategy,,Number of health-care workers who had TB
hcw_tot,Strategy,,Total number of health-care workers who were working in the country in the public and private sector
mdr_tx_nonntp,Strategy,,Number of patients started on MDR-TB treatment by non-NTP providers in the reporting year
priv_new_dx,Strategy,,Number of new cases of TB diagnosed according to National Treatment Programme (NTP)  guidelines by private providers
pub_new_dx,Strategy,,Number of new cases of TB diagnosed according to National Treatment Programme (NTP)  guidelines by non-NTP public providers
xpert_in_guide_children,Strategy,0=No; 1=yes,Is national guidance in place that indicates the use of Xpert MTB/RIF as the initial diagnostic test for the diagnosis of TB in children suspected of having TB?
xpert_in_guide_drtb,Strategy,0=No; 1=yes,Is national guidance in place that indicates the use of Xpert MTB/RIF as the initial diagnostic test for the diagnosis of drug-resistant TB among people at risk?
xpert_in_guide_eptb,Strategy,0=No; 1=yes,Is national guidance in place that indicates the use of Xpert MTB/RIF as the initial diagnostic test for the diagnosis of extrapulmonary TB using selected specimens?
xpert_in_guide_tb,Strategy,0=No; 1=yes,Is national guidance in place that indicates the use of Xpert MTB/RIF as the initial diagnostic test for the diagnosis of TB in all people suspected of having TB?
xpert_in_guide_TBHIV,Strategy,0=No; 1=yes,Is national guidance in place that indicates the use of Xpert MTB/RIF as the initial diagnostic test for the diagnosis of TB in people at risk of HIV-associated TB?
